gameID,TeamID,Score,NumOT,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,mens_data,tourney_game,Seed,Loc_A,Loc_H,Loc_N,IsWin,opp_TeamID,opp_Score,opp_NumOT,opp_FGM,opp_FGA,opp_FGM3,opp_FGA3,opp_FTM,opp_FTA,opp_OR,opp_DR,opp_Ast,opp_TO,opp_Stl,opp_Blk,opp_PF,opp_Seed
1,1231,66,0,26,62,2,13,12,20,12,22,10,7,3,3,22,True,True,20,False,False,True,True,1231,66,0,26,62,2,13,12,20,12,22,10,7,3,3,22,20
2,1411,76,0,23,55,4,13,26,35,8,34,9,15,4,9,18,True,True,20,False,False,True,True,1411,76,0,23,55,4,13,26,35,8,34,9,15,4,9,18,20
3,1323,89,2,37,72,6,19,9,16,7,22,17,5,6,2,8,True,True,20,False,False,True,True,1323,89,2,37,72,6,19,9,16,7,22,17,5,6,2,8,20
4,1460,93,0,29,61,9,21,26,32,12,29,19,15,6,4,20,True,True,20,False,False,True,True,1460,93,0,29,61,9,21,26,32,12,29,19,15,6,4,20,20
5,1116,75,0,24,56,7,21,20,25,5,30,12,5,2,3,19,True,True,20,False,False,True,True,1116,75,0,24,56,7,21,20,25,5,30,12,5,2,3,19,20
6,1124,85,0,31,54,11,27,12,21,11,22,24,10,6,3,14,True,True,3,False,False,True,True,1124,85,0,31,54,11,27,12,21,11,22,24,10,6,3,14,3
7,1166,72,1,25,56,2,14,20,24,11,28,14,20,9,0,17,True,True,3,False,False,True,True,1166,72,1,25,56,2,14,20,24,11,28,14,20,9,0,17,3
8,1211,93,0,36,71,5,18,16,30,16,37,23,7,5,9,18,True,True,5,False,False,True,True,1211,93,0,36,71,5,18,16,30,16,37,23,7,5,9,18,5
9,1242,83,0,34,68,11,23,4,9,11,28,20,15,8,1,21,True,True,4,False,False,True,True,1242,83,0,34,68,11,23,4,9,11,28,20,15,8,1,21,4
10,1272,64,0,24,51,5,12,11,14,11,25,12,15,5,2,18,True,True,20,False,False,True,True,1272,64,0,24,51,5,12,11,14,11,25,12,15,5,2,18,20
